"Real GDP by metropolitan area (millions of chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"22660","Fort Collins, CO (Metropolitan Statistical Area)",9925,10549,10604,10773,11001,11145,11429,11352,11227,11632,11849,12223,12752,13319,14057
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",8192,8385,8800,9099,9600,10057,9639,9609,9089,9418,9405,9350,9617,9775,9675
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",16568,16723,16945,17127,17499,18110,18327,17740,16802,17777,18051,18497,18562,18965,19304
"23420","Fresno, CA (Metropolitan Statistical Area)",25211,27297,28575,29325,30341,31592,31162,31183,31379,31643,32352,31885,32120,32740,33963
"23460","Gadsden, AL (Metropolitan Statistical Area)",2478,2528,2569,2667,2708,2699,2661,2646,2573,2600,2650,2598,2547,2593,2594
"23540","Gainesville, FL (Metropolitan Statistical Area)",8519,8647,8837,9659,9841,10139,10611,10565,10362,10512,10342,10345,10384,10594,10766
"23580","Gainesville, GA (Metropolitan Statistical Area)",6341,6188,6259,6429,6830,6827,6865,6738,6414,6437,6827,6860,7013,7182,7565
"23900","Gettysburg, PA (Metropolitan Statistical Area)",2328,2390,2542,2581,2700,2821,2831,2781,2764,2653,2570,2619,2683,2754,2699
"24020","Glens Falls, NY (Metropolitan Statistical Area)",3524,3645,3761,3962,4069,4087,4007,4072,4091,4202,4188,4251,4180,4206,4216
"24140","Goldsboro, NC (Metropolitan Statistical Area)",3709,3649,3632,3825,3874,4062,4000,3947,4015,3960,3915,3953,3923,3894,3952
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",3266,3359,3611,3516,3553,3754,3749,4020,3872,3946,3916,4217,4292,4273,4400
"24260","Grand Island, NE (Metropolitan Statistical Area)",2607,2699,2850,2898,3092,3247,3300,3312,3358,3378,3531,3569,3639,3536,3539
"24300","Grand Junction, CO (Metropolitan Statistical Area)",3765,3918,3990,4118,4346,4587,4987,5418,5002,4797,4833,4883,4814,4955,4937
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",41282,42830,43768,44693,45575,45519,44136,42224,39510,41071,42373,44156,45456,47388,48478
"24420","Grants Pass, OR (Metropolitan Statistical Area)",1539,1608,1689,1811,1864,1957,1911,1882,1815,1770,1767,1754,1698,1746,1827
"24500","Great Falls, MT (Metropolitan Statistical Area)",2592,2596,2661,2748,2745,2874,2894,2936,2914,2974,2976,2946,2890,2972,3084
"24540","Greeley, CO (Metropolitan Statistical Area)",6507,6592,6543,6661,6971,7163,7374,7355,7327,7390,7463,7743,8211,9047,9529
"24580","Green Bay, WI (Metropolitan Statistical Area)",14207,14356,14810,15241,15357,15381,15401,14998,14758,15206,15529,15935,16078,16432,16716
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",32239,32345,32684,33083,33969,35226,34812,34792,33212,33727,34095,33508,34225,34966,34793
"24780","Greenville, NC (Metropolitan Statistical Area)",5204,5291,5385,5317,5509,5779,6062,6219,6177,6169,6349,6437,6427,6524,6513
